fide_id,wrong_chinese_name,correct_chinese_name,evidence_url,notes
8602980,居文君,侯逸凡,https://ratings.fide.com/profile/8602980,FIDE 官方档案为 Hou Yifan;早期索引把 8602980 错标为居文君(居文君实为 8603006)
8608288,徐翔宇,许翔宇,https://s3.chess-results.com/tnr1263712.aspx?lan=1,2025 甲级联赛官方名单为许翔宇;徐翔宇系早期人工种子行笔误
