tournament_id,action,canonical_event_id,chinese_name,evidence_url,reason
1375162,aggregate,,2026年世界青少年国际象棋锦标赛总名单,https://chess-results.com/tnr1375162.aspx,聚合参赛名单不是单一可逐轮采集赛事
1446625,aggregate,,2026“一带一路”中国国际象棋公开赛（库车）总名单,https://chess-results.com/tnr1446625.aspx,同时包含A组和B组的聚合参赛名单且不发布逐轮对阵
